ship_postal_code,ship_city,ship_state
400081.0,Mumbai,Maharashtra
560085.0,Bengaluru,Karnataka
410210.0,Navi Mumbai,Maharashtra
605008.0,Puducherry,Puducherry
600073.0,Chennai,Tamil Nadu
201102.0,Ghaziabad,Uttar Pradesh
160036.0,Chandigarh,Chandigarh
500032.0,Hyderabad,Telangana
500008.0,Hyderabad,Telangana
600041.0,Chennai,Tamil Nadu
201303.0,Noida,Uttar Pradesh
444606.0,Amravati.,Maharashtra
400053.0,Mumbai,Maharashtra
515801.0,Guntakal,Andhra Pradesh
302020.0,Jaipur,Rajasthan
110074.0,New Delhi,Delhi
122004.0,Gurgaon,Haryana
560017.0,Bengaluru,Karnataka
620018.0,Tiruchirappalli,Tamil Nadu
560040.0,Bengaluru,Karnataka
500072.0,Hyderabad,Telangana
411044.0,Pune,Maharashtra
784001.0,Tezpur,Assam
834002.0,Ranchi,Jharkhand
495001.0,Bilaspur,Chhattisgarh
411052.0,Pune,Maharashtra
560037.0,Bengaluru,Karnataka
781003.0,Guwahati,Assam
613704.0,Thiruvarur,Tamil Nadu
226010.0,Lucknow,Uttar Pradesh
530016.0,Visakhapatnam,Andhra Pradesh
764001.0,Jeypur,Odisha
500028.0,Hyderabad,Telangana
226016.0,Lucknow,Uttar Pradesh
600033.0,Chennai,Tamil Nadu
110092.0,New Delhi,Delhi
695011.0,Thiruvananthapuram,Kerala
201306.0,Greater Noida,Uttar Pradesh
482002.0,Jabalpur,Madhya Pradesh
400092.0,Mumbai,Maharashtra
226017.0,Lucknow,Uttar Pradesh
400076.0,Mumbai,Maharashtra
700014.0,Kolkata,West Bengal
523001.0,Ongole,Andhra Pradesh
500017.0,Secunderabad,Telangana
500062.0,Hyderabad,Telangana
271881.0,Kewalpur,Uttar Pradesh
753012.0,Cuttack,Odisha
421503.0,Badlapur,Maharashtra
797112.0,Dimapur,Nagaland
560047.0,Bengaluru,Karnataka
560076.0,Bengaluru,Karnataka
506001.0,Warangal,Telangana
328024.0,Dhaulpur,Rajasthan
781029.0,Guwahati,Assam
560103.0,Bengaluru,Karnataka
560023.0,Bengaluru,Karnataka
440022.0,Nagpur,Maharashtra
400607.0,Thane,Maharashtra
389151.0,Dahod,Gujarat
834004.0,Ranchi,Jharkhand
411014.0,Pune,Maharashtra
586201.0,Vijapura,Karnataka
400080.0,Mumbai,Maharashtra
560001.0,Bangalore,Karnataka
560098.0,Bengaluru,Karnataka
760002.0,Berhampur,Odisha
500085.0,Hyderabad,Telangana
411045.0,Pune,Maharashtra
383001.0,Himmatnagar,Gujarat
700048.0,Kolkata,West Bengal
502032.0,Hyderabad,Telangana
248001.0,Dehradun,Uttarakhand
700078.0,Kolkata,West Bengal
636705.0,Dharmapuri,Tamil Nadu
248005.0,Dehradun,Uttarakhand
303905.0,Jaipur,Rajasthan
390019.0,Vadodara,Gujarat
680506.0,Chavakkad,Kerala
800026.0,Patna,Bihar
600028.0,Chennai,Tamil Nadu
390018.0,Vadodara,Gujarat
390003.0,Vadodara,Gujarat
411046.0,Pune,Maharashtra
180011.0,Jammu,Jammu & Kashmir
560026.0,Bangalore,Karnataka
110036.0,New Delhi,Delhi
125039.0,Narnaund,Haryana
380051.0,Ahmedabad,Gujarat
421502.0,Ambarnath,Maharashtra
474005.0,Gwalior,Madhya Pradesh
110078.0,New Delhi,Delhi
124001.0,Rohtak,Haryana
700156.0,Kolkata,West Bengal
110034.0,New Delhi,Delhi
500054.0,Hyderabad,Telangana
800002.0,Patna,Bihar
505211.0,Ramagundam,Telangana
262501.0,Pithoragarh,Uttarakhand
700057.0,Kolkata,West Bengal
400101.0,Mumbai,Maharashtra
500053.0,Hyderabad,Telangana
781014.0,"Guwahati, Kamrup (M)",Assam
563101.0,Kolar,Karnataka
147001.0,Patiala,Punjab
486001.0,Rewa,Madhya Pradesh
783380.0,Bongaigaon,Assam
500087.0,Hyderabad,Telangana
560055.0,Bengaluru,Karnataka
603002.0,Chengalpattu,Tamil Nadu
621212.0,Perambalur,Tamil Nadu
174001.0,Bilaspur,Himachal Pradesh
